,mainframe,framedata,datatocompare,comparison
802,239,239,3,False
803,239,239,3,False
804,239,239,3,False
805,239,239,3,False
806,239,239,3,False
807,239,239,3,False
808,238,238,2,False
809,238,238,2,False
810,238,238,2,False
811,239,239,3,False
812,239,239,3,False
813,239,239,3,False
814,239,239,3,False
815,239,239,3,False
816,238,239,2,False
817,238,238,2,False
818,237,238,1,False
819,235,237,255,True
820,234,235,254,True
821,232,234,252,True
822,230,232,250,True
823,228,230,248,True
824,226,227,246,True
825,224,226,244,True
826,222,224,242,True
827,221,222,241,True
828,220,221,240,True
829,219,220,239,True
830,219,219,239,True
831,217,219,237,True
832,217,217,237,True
833,217,217,237,True
834,217,217,237,True
835,217,217,237,True
836,217,217,237,True
837,217,217,237,True
838,216,217,236,True
839,216,216,236,True
840,215,216,235,True
841,215,215,235,True
842,214,215,234,True
843,215,214,235,True
844,215,215,235,True
845,215,215,235,True
846,215,215,235,True
847,215,215,235,True
848,215,215,235,True
849,215,215,235,True
850,213,215,233,True
851,213,213,233,True
852,213,213,233,True
853,214,213,234,True
854,215,215,235,True
855,216,216,236,True
856,216,216,236,True
857,215,216,235,True
858,213,215,233,True
859,212,213,232,True
860,207,211,227,True
861,204,207,224,True
862,201,203,221,True
863,199,201,219,True
864,195,195,215,True
865,193,193,213,True
866,191,191,211,True
867,189,189,209,True
868,190,190,210,True
869,190,190,210,True
870,189,189,209,True
871,189,189,209,True
872,188,188,208,True
873,188,188,208,True
874,187,187,207,True
875,187,187,207,True
876,187,187,207,True
877,186,186,206,True
878,186,186,206,True
879,188,188,208,True
880,193,193,213,True
881,194,194,214,True
882,195,195,215,True
883,196,196,216,True
884,199,199,219,True
885,200,200,220,True
886,201,201,221,True
887,202,202,222,True
888,202,202,222,True
889,201,201,221,True
890,200,200,220,True
891,199,199,219,True
892,196,196,216,True
893,195,195,215,True
894,193,193,213,True
895,191,191,211,True
896,188,188,208,True
897,186,186,206,True
898,186,186,206,True
899,186,186,206,True
900,186,186,206,True
901,186,186,206,True
902,185,185,205,True
903,186,186,206,True
904,185,185,205,True
905,185,185,205,True
906,184,184,204,True
907,182,182,202,True
908,181,181,201,True
909,180,180,200,True
910,179,179,199,True
911,178,178,198,True
912,175,175,195,True
913,173,173,193,True
914,170,170,190,True
915,167,167,187,True
916,166,166,186,True
917,167,167,187,True
918,169,169,189,True
919,169,169,189,True
920,169,169,189,True
921,167,167,187,True
922,166,166,186,True
923,165,165,185,True
924,164,164,184,True
925,164,164,184,True
926,164,164,184,True
927,164,164,184,True
928,164,164,184,True
929,165,165,185,True
930,165,165,185,True
931,166,166,186,True
932,166,166,186,True
933,166,166,186,True
934,166,166,186,True
935,166,166,186,True
936,166,166,186,True
937,165,165,185,True
938,166,166,186,True
939,166,166,186,True
940,167,167,187,True
941,167,167,187,True
942,166,166,186,True
943,166,166,186,True
944,166,166,186,True
945,166,166,186,True
946,166,166,186,True
947,167,167,187,True
948,169,169,189,True
949,167,167,187,True
950,167,167,187,True
951,167,167,187,True
952,168,168,188,True
953,168,168,188,True
954,168,168,188,True
955,168,168,188,True
956,168,168,188,True
957,168,168,188,True
958,168,168,188,True
959,168,168,188,True
960,168,168,188,True
961,168,168,188,True
962,167,167,187,True
963,166,166,186,True
964,165,165,185,True
965,165,165,185,True
966,166,166,186,True
967,166,166,186,True
968,165,165,185,True
969,166,166,186,True
970,166,166,186,True
971,166,166,186,True
972,166,166,186,True
